Familia_Categoria,Exemplos_De_Categorias,ODS_9_Infraestrutura,ODS_11_Cidades_Sustentaveis,ODS_12_Consumo_Responsavel,ESG_E_Ambiental,ESG_S_Social,ESG_G_Governanca,Sensivel_Chuva,Sensivel_Calor,Sensivel_Decisao_Governamental,Variaveis_Preditivas_Relevantes,Justificativa
Eletrica_Instalacoes_Quadros_Subestacao,Eletrica; instalacoes eletricas; quadros eletricos; subestacao; curto; disjuntor,0.35,0.1,0.1,0.25,0.25,0.5,NAO,SIM,SIM,custo_previsto; chamados_previstos; calor_previsto; restricao_orcamentaria,"Infraestrutura eletrica e critica para continuidade institucional, seguranca e custo operacional."
Climatizacao_Ar_Condicionado,Climatizacao; ar condicionado split; ar condicionado central; conforto termico,0.25,0.2,0.2,0.4,0.35,0.25,NAO,SIM,SIM,calor_previsto; chamados_previstos; custo_previsto,"Afeta consumo de energia, conforto termico, salas de aula, laboratorios e continuidade de uso."
Hidrossanitaria_Hidraulica_Sanitarios,Hidrossanitaria; hidraulica; banheiro; vazamento; bomba; esgoto; caixa d'agua,0.2,0.3,0.2,0.45,0.35,0.2,SIM,NAO,SIM,chuva_prevista; chamados_previstos; custo_previsto,"Relaciona agua, salubridade, desperdicio, uso coletivo e resposta operacional."
Estrutura_Telhado_Infiltracao_Calhas,Estrutura predial; telhado; calha; infiltracao; forro; cobertura; alvenaria,0.25,0.35,0.15,0.3,0.45,0.25,SIM,NAO,SIM,chuva_prevista; custo_previsto; chamados_previstos,"Afeta seguranca, salubridade, protecao da edificacao e custo futuro por degradacao."
Espacos_Coletivos_Acessibilidade_Seguranca,sala de aula; laboratorio; biblioteca; auditorio; acessibilidade; circulacao; iluminacao,0.1,0.45,0.05,0.1,0.7,0.2,SIM,SIM,SIM,chamados_previstos; calor_previsto; chuva_prevista; prioridade_institucional,"Prioriza uso social do campus, seguranca, conforto, acessibilidade e continuidade academica."
Preventiva_Planejada,manutencao preventiva; plano de manutencao; inspeção; vistoria; preventiva,0.2,0.1,0.4,0.35,0.15,0.5,SIM,SIM,SIM,custo_previsto; chamados_previstos; decisao_governamental,"Aumenta governanca, reduz recorrencia, reduz desperdicio e antecipa falhas."
Corretiva_Emergencial_Alta_Criticidade,corretiva; emergencial; alta criticidade; risco; paralizacao,0.25,0.35,0.2,0.2,0.45,0.35,SIM,SIM,SIM,pico_demanda_previsto; custo_previsto; decisao_governamental,"Representa falha ja materializada, impacto social e pressao sobre recursos."
TI_Dados_Rede_Infraestrutura_Digital,rede; dados; fibra; internet; TI; infraestrutura digital,0.35,0.2,0.05,0.05,0.35,0.6,NAO,SIM,SIM,chamados_previstos; decisao_governamental,Infraestrutura digital e condicao de continuidade academica e governanca operacional.
Suprimentos_Materiais_Compras_Contratos,material; suprimento; compras; contrato; fiscalizacao; medicao,0.05,0.05,0.45,0.2,0.1,0.7,NAO,NAO,SIM,restricao_orcamentaria; liberacao_orcamentaria; custo_previsto,"Conecta consumo responsavel, rastreabilidade, custo, contratos e governanca publica."
Area_Externa_Drenagem_Ambiental,area externa; drenagem; poda; alagamento; pavimentacao; jardinagem,0.15,0.35,0.2,0.55,0.3,0.15,SIM,SIM,SIM,chuva_prevista; calor_previsto; chamados_previstos,"Relaciona ambiente externo, drenagem, seguranca de circulacao, conforto ambiental e sustentabilidade local."
